,uri,track,playlist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
842,spotify:track:5ug4vqGZ3eisGhY1IsziNX,Best Part of Me (feat. YEBBA),12,romantic,0.5650000000000001,0.242,2,-8.367,1,0.0318,0.762,9.299999999999999e-06,0.28500000000000003,0.23700000000000002,81.657
843,spotify:track:0HRshWRNAwQBROvxXqG3i9,Skinny Love,12,romantic,0.379,0.29,4,-8.485,1,0.051000000000000004,0.9520000000000001,0.0010600000000000002,0.11800000000000001,0.169,166.467
844,spotify:track:4XLu3tTSZiPFVC9mmuR6Zp,All These Years,12,romantic,0.732,0.436,1,-7.409,0,0.117,0.609,0,0.108,0.47500000000000003,94.852
845,spotify:track:6pU7kdmhRvhc8twYRl14bD,Somebody,12,romantic,0.721,0.763,5,-4.748,1,0.038200000000000005,0.0017800000000000001,0.00023799999999999998,0.0945,0.436,117.981
846,spotify:track:3pzc4ipTvnIX9t8zSydnGe,Don't Go Far,12,romantic,0.622,0.312,4,-16.105,1,0.0315,0.902,0.401,0.109,0.228,80.514
847,spotify:track:07J3p1GchLPc2kAKFgd1TD,Fall So Hard,12,romantic,0.5720000000000001,0.797,0,-4.181,1,0.0497,0.0949,0,0.259,0.598,135.76
848,spotify:track:1raaNykBg1bDnWENUiglUA,Break My Heart,12,romantic,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39E-06,0.34900000000000003,0.467,113.012
849,spotify:track:7ce20yLkzuXXLUhzIDoZih,Before You Go,12,romantic,0.459,0.5750000000000001,3,-4.858,1,0.057300000000000004,0.604,0,0.08850000000000001,0.183,111.881
85,spotify:track:7yrhYiObdVbdo1XDUg8VdD,Baby Love,3,upbeat,0.579,0.637,0,-6.201,1,0.028900000000000002,0.35000000000000003,0,0.09050000000000001,0.719,135.28
850,spotify:track:0roOLcll6SSTYZwsQFmXqP,Let Me Move You - From the Netflix film Work It,12,romantic,0.624,0.628,4,-6.582,0,0.0408,0.0112,0.019100000000000002,0.0814,0.772,114.556
851,spotify:track:0cj2joJcY6b4XSRfj2eZOl,When We Were Young,12,romantic,0.377,0.595,3,-5.936,1,0.0489,0.303,0,0.095,0.264,144.464
852,spotify:track:5iqfKcEGKhoeWTNqmZPiu3,Love Of Your Life,12,romantic,0.632,0.8260000000000001,10,-5.326,0,0.0699,0.00161,2.89E-06,0.146,0.47400000000000003,111.886
853,spotify:track:5LOaKdW9D2Gl9neAN94NbR,Somewhere Only We Know,12,romantic,0.445,0.59,9,-6.747,1,0.0258,0.0575,1.08E-05,0.08320000000000001,0.334,172.016
854,spotify:track:0rFOs9paloAvEtzwDX1Kmc,Bubbly,12,romantic,0.6970000000000001,0.47400000000000003,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904
855,spotify:track:018Idkvf82hi44UZmIXiGB,"Never Seen Anything ""Quite Like You"" - Acoustic",12,romantic,0.444,0.398,6,-8.01,1,0.03,0.799,0,0.114,0.361,79.874
856,spotify:track:3KqRYO83UpIst49K6USWep,Love Looks Better,12,romantic,0.562,0.683,1,-6.179,1,0.0328,0.0211,0,0.176,0.464,97.061
857,spotify:track:2BkyYZmU4JuWW2sYi9EzpC,7 Minutes,12,romantic,0.613,0.739,10,-6.478,1,0.031100000000000003,0.526,0,0.149,0.712,104.966
858,spotify:track:1emAqEEKHGpdFx6H2YJTiG,Mirage,12,romantic,0.515,0.251,6,-11.646,0,0.08510000000000001,0.794,0,0.139,0.221,117.139
859,spotify:track:2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),12,romantic,0.755,0.625,2,-7.114,1,0.0896,0.49,0,0.157,0.374,147.02
86,spotify:track:01gwPP2h3ajRnqiIphUtR7,ABC,3,upbeat,0.725,0.804,8,-7.84,1,0.0393,0.426,0.000504,0.108,0.961,93.668
