,track,uri,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
110,Fear & Force,spotify:track:1iKVQiRDpHueFlbC9LJBvN,sad,0.596,0.223,0,-11.288,1,0.0275,0.736,0.00182,0.108,0.0384,141.848
111,Tarifa,spotify:track:1nEUk2DYbi8pzgB3LZxo7o,sad,0.276,0.328,0,-9.152,1,0.0289,0.25,0.000333,0.0871,0.103,72.931
112,Thumbs,spotify:track:79pcC3KJRMA2L8xIb5mu3G,sad,0.474,0.0964,7,-15.87,0,0.0406,0.961,0,0.134,0.272,97.595
113,Places/Plans,spotify:track:05SnceLITolxkYVPD0Ww4i,sad,0.515,0.111,5,-14.303,1,0.0292,0.884,0.000708,0.124,0.197,131.809
114,Robber,spotify:track:1ZKSWtwZDRT1SWZSE0wrqH,sad,0.714,0.614,7,-9.823,0,0.0385,0.72,0.281,0.093,0.352,118.993
115,If It Ain't Me Babe,spotify:track:39j6F8ulgcWZn1M4R4hRSu,sad,0.548,0.47,4,-9.662,0,0.0296,0.594,0.0154,0.113,0.217,116.02
116,Garden Dove,spotify:track:3wYl7lRiqN3Z685E7LuA6k,sad,0.584,0.543,4,-5.391,1,0.0277,0.27,0.000169,0.0589,0.71,169.11
117,Means Something,spotify:track:7k57OymCjtuqtg0Pv6VQri,sad,0.429,0.2,8,-14.629,1,0.0511,0.825,1.71e-06,0.367,0.362,95.319
118,Cool Girl,spotify:track:0FSOenCj42lbikl1vd5ah9,sad,0.73,0.205,2,-15.489,1,0.0957,0.872,0.0593,0.095,0.206,124.989
119,untitled,spotify:track:2PMo0BYsGBY2TgHJ5Gm4oT,sad,0.372,0.237,1,-13.404,1,0.0369,0.938,0.425,0.103,0.0966,119.436
120,Luster,spotify:track:1TEWu9IdgiwAe5q0bQqwDQ,sad,0.31,0.226,1,-9.828,1,0.0303,0.936,0.0134,0.114,0.124,140.956
121,Garden Song,spotify:track:1LTWcRVy9o96Zzn29wXLsa,sad,0.371,0.256,0,-16.7,1,0.227,0.868,0.00507,0.112,0.171,195.674
122,Maybe,spotify:track:4dGjMKCXok3F866sHnDgQy,sad,0.562,0.681,7,-6.344,1,0.0315,0.0124,0.0139,0.156,0.245,130.011
123,Garden of Eden,spotify:track:6jF6VwQeIiy18FUH0wuIQN,sad,0.577,0.72,5,-8.08,1,0.0421,0.0496,0.00423,0.0977,0.465,150.085
124,Paper Mache World,spotify:track:3Maqlu2aPlU8NluW19O8JD,sad,0.479,0.754,2,-5.818,1,0.0849,0.455,5.82e-06,0.127,0.575,180.109
125,Smother,spotify:track:1drUAdX3NY4dTieuxdedLY,sad,0.507,0.138,1,-16.447,1,0.0334,0.925,0.0777,0.12,0.115,124.983
126,I'm Too Smart,spotify:track:3cHUgy2YScaImqEk8ovZBz,sad,0.368,0.465,2,-7.678,1,0.0463,0.441,0,0.0791,0.254,144.06
127,Berlin,spotify:track:2P9p3GVQ7S6bJ5xaE7f8gH,sad,0.525,0.356,8,-9.894,1,0.0269,0.555,0.812,0.119,0.305,143.49
128,Everything I had,spotify:track:42lN5xgSw3ytN4zsSNWISb,sad,0.743,0.345,4,-11.337,1,0.0271,0.625,0.497,0.0893,0.19,103.993
129,"Lincoln, Nebraska",spotify:track:0wjgbfx3N3bYqJUgs80gQi,sad,0.698,0.198,2,-9.753,1,0.0303,0.861,0.00331,0.267,0.325,135.464
130,Birthday Party,spotify:track:2QRxYrJkEg1iLdvudQHII1,sad,0.883,0.25,4,-11.772,1,0.0564,0.642,0,0.0937,0.64,110.003
131,Deep End,spotify:track:3DXEbjIftmPeBj638CxyJD,sad,0.368,0.314,0,-8.491,1,0.0316,0.796,1.69e-06,0.126,0.371,109.143
132,The Patriots,spotify:track:214d8CTAwLNhzxs9oATuhk,sad,0.565,0.375,2,-8.647,1,0.033,0.639,0,0.0943,0.417,138.745
133,Let Me Tell You Something,spotify:track:5GV0Yeo76b1UubEPVOQKUd,sad,0.545,0.542,0,-8.704,1,0.0876,0.738,0.0183,0.359,0.342,87.882
134,Dynamite,spotify:track:2WDY2kjGeNmhb8UwKmixJi,sad,0.642,0.583,1,-8.047,1,0.0329,0.464,0.00539,0.375,0.362,152.027
135,Horizon,spotify:track:7sqxbAwB1tl6MfQXHhA2R5,sad,0.427,0.11,8,-10.486,1,0.0392,0.883,0,0.113,0.229,58.555
136,Thirteen,spotify:track:0BuGTUaFGGjeOz1U3CwHrc,sad,0.697,0.248,10,-10.54,1,0.0278,0.875,0.000901,0.11,0.382,101.981
137,Held Down,spotify:track:2PHeCBCWESSAqfxpORbxKA,sad,0.392,0.495,7,-7.881,1,0.0364,0.17,1.04e-06,0.338,0.38,78.585
138,Capable,spotify:track:51Vj9FdgpfeKzgEvzOICdy,sad,0.413,0.603,0,-6.786,1,0.0371,0.175,0.000864,0.101,0.225,172.204
139,Golden,spotify:track:2WtZ0pGY93BnZfuGVenMb9,sad,0.348,0.246,3,-11.534,1,0.028,0.764,0.00125,0.0996,0.193,136.1
140,Please,spotify:track:7rlXGNtyPAANQVZ0bGwo8Z,sad,0.391,0.375,0,-11.706,1,0.0294,0.671,0.000296,0.114,0.365,138.208
141,wish you the best (feat. Jensen McRae),spotify:track:35xkenzfDhEA1LEpJsprKu,sad,0.509,0.185,2,-13.358,1,0.0286,0.662,0,0.259,0.0455,102.936
142,Earthquake,spotify:track:2U0U5tUzmzAd0tjzvXwHqN,sad,0.594,0.47,2,-7.448,1,0.0293,0.0275,0.00849,0.102,0.381,84.402
143,Horses,spotify:track:5Ano4JVB4uDv8fQnhwdYfo,sad,0.44,0.236,11,-9.264,0,0.0417,0.963,7.87e-05,0.151,0.179,113.672
144,Souvenir,spotify:track:1JPRgRUK044O15wgv8uZO1,sad,0.598,0.3,6,-11.044,0,0.0264,0.732,0.502,0.0946,0.167,109.034
145,Desire,spotify:track:12rpkK6BHssFJ3ORBGON5c,sad,0.659,0.578,7,-5.27,1,0.0302,0.0244,0.00195,0.119,0.58,110.978
146,Horrible Person,spotify:track:4mtfqafTxGj9YxQxsQt4yB,sad,0.155,0.123,5,-18.636,1,0.0382,0.916,0.00305,0.356,0.101,58.656
147,Heavy Head (Keep It Near),spotify:track:6GDUqLI7Wh88WNyZqCsYuQ,sad,0.532,0.171,9,-12.822,1,0.0301,0.916,1.21e-05,0.112,0.23,106.959
148,Family Album,spotify:track:0ydnbv4CT5dUh7WMdHtWBN,sad,0.309,0.385,2,-6.612,1,0.0305,0.908,0.0163,0.124,0.159,97.868
149,Coast,spotify:track:6AtvqLh6eSczO0QGi6BFIm,sad,0.393,0.204,4,-13.405,0,0.0353,0.897,0.186,0.121,0.245,115.962
150,The Hardest Part,spotify:track:4Gcikn8y1cLRXki0xguC5G,sad,0.409,0.177,2,-12.589,1,0.0563,0.857,1.28e-06,0.106,0.365,163.379
151,The Impossible Task of Feeling Complete,spotify:track:1JAEWJdVG3qweQL0iAKWn6,sad,0.293,0.282,9,-11.529,0,0.0395,0.937,0.0022,0.108,0.0397,169.593
152,Everything Everything,spotify:track:33WlDnFFCjmlqCL7H4lUcl,sad,0.5,0.171,9,-16.361,0,0.035,0.987,0.503,0.0997,0.16,119.255
153,Someone New,spotify:track:68JDi93FyrXp06NIQjkUWD,sad,0.535,0.763,1,-10.16,0,0.0788,0.578,0.573,0.103,0.166,148.027
154,Cathedral,spotify:track:528i0bBEVKFO8P1WwUYtEp,sad,0.612,0.631,5,-4.991,0,0.0804,0.747,0,0.125,0.46,94.985
155,Same Mistakes,spotify:track:7l6ootXc12jVyxTybFGKt8,sad,0.727,0.278,11,-11.13,1,0.0413,0.897,0.137,0.0985,0.426,104.986
156,Boxing Day Blues,spotify:track:5H4XMIorgnOoTrQ2JLPvEl,sad,0.615,0.0617,2,-15.092,1,0.036,0.937,0.000197,0.103,0.374,124.347
157,New Shoes,spotify:track:2Nh201cURlNgpcMDnDlNaL,sad,0.577,0.222,7,-10.568,1,0.0291,0.962,3.1e-05,0.359,0.166,136.048
158,Hold On,spotify:track:5lXbZUPAC0ZPJ2zHRXGEIs,sad,0.284,0.446,8,-11.035,0,0.0341,0.162,0.0749,0.166,0.148,117.387
159,Big Wheel,spotify:track:366DDVYAJoT1Cc8ijYN9FM,sad,0.553,0.512,5,-7.759,1,0.0465,0.569,3.87e-05,0.107,0.259,94.96
160,Drinking Song,spotify:track:5KkoM9rbevlWf8EePOrwfS,sad,0.621,0.219,0,-11.305,1,0.0381,0.89,1.4e-05,0.111,0.253,120.495
161,...Familiar Place,spotify:track:0lp0bQqzyLmNNHHFYRaaJf,sad,0.214,0.148,7,-17.775,1,0.037,0.0128,0.058,0.113,0.0277,46.591
162,Good Scare,spotify:track:3UrZ77Jh8iL2h5Apvswrwm,sad,0.451,0.846,7,-8.868,1,0.0487,0.0129,0.0201,0.0794,0.492,186.103
